flowId,throughput,pdr,delay,jitter,loss
1,0.04408118284507301,1.0,0.19528479999999998,0.1406448,0.0
2,0.04409783185660038,1.0,3.37552,0.68976,0.0
3,0.04408118284507301,1.0,1.065424,1.211524,0.0
4,0.04405358220887924,1.0,3.23368,1.290984,0.0
5,0.04408118284507301,1.0,1.511404,1.347964,0.0
6,0.0440877509531935,1.0,3.06114,1.329178,0.0
7,0.04408118284507301,1.0,1.194164,0.961264,0.0
8,0.04403831333259936,1.0,3.42796,1.098612,0.0
9,0.04408118284507301,1.0,1.171364,0.923776,0.0
10,0.04403553014904804,1.0,3.44726,0.987842,0.0
11,0.04408118284507301,1.0,1.252144,1.103804,0.0
12,0.04405528938818217,1.0,3.5575,1.083902,0.0
13,0.04408118284507301,1.0,1.296764,1.280164,0.0
14,0.04406850203816822,1.0,3.66888,1.275904,0.0
15,0.04408118284507301,1.0,1.701004,1.511084,0.0
16,0.044090450743209865,1.0,3.45432,1.656148,0.0
17,0.04408118284507301,1.0,1.326144,0.943244,0.0
18,0.04409504114516455,1.0,3.84672,1.156768,0.0
19,0.04408118284507301,1.0,1.214644,1.184316,0.0
20,0.04405331266634714,1.0,3.8215,1.17302,0.0
21,0.04408118284507301,1.0,1.480664,1.420484,0.0
22,0.04406895158740035,1.0,0.9601,0.71848,0.0
23,0.0440694910585859,1.0,0.15824,0.2052,0.0
24,0.0440638272697971,1.0,3.81846,1.48661,0.0
25,0.04408118284507301,1.0,1.413544,1.637964,0.0
26,0.04407893394281983,1.0,1.306428,0.732712,0.0
27,0.044080463171385253,1.0,0.527572,0.837454,0.0
28,0.04408262226294876,1.0,4.0376,1.572792,0.0
29,0.04408118284507301,1.0,1.641184,1.621364,0.0
30,0.04406733325308727,1.0,1.583024,0.790124,0.0
31,0.0440801033433534,1.0,0.661872,0.990414,0.0
32,0.04407416702885021,1.0,3.85842,1.536652,0.0
33,0.04408118284507301,1.0,1.348404,1.364724,0.0
34,0.0440801033433534,1.0,1.744588,0.858716,0.0
35,0.04409243079937944,1.0,0.605256,0.800758,0.0
36,0.044097111639187635,1.0,4.03852,1.422896,0.0
37,0.04408118284507301,1.0,1.623354,1.388186,0.0
38,0.04407272816308541,1.0,1.89978,0.877844,0.0
39,0.044088200895235415,1.0,0.428472,0.619334,0.0
40,0.044066434229826854,1.0,4.09164,1.764798,0.0
41,0.04408118284507301,1.0,1.732244,1.743644,0.0
42,0.04407812439418087,1.0,2.0763,0.820076,0.0
43,0.04409234079296809,1.0,0.401532,0.574868,0.0
44,0.044120891242003094,1.0,4.03658,1.651552,0.0
45,0.04408118284507301,1.0,1.631464,1.863984,0.0
46,0.04407974352119603,1.0,2.25552,0.840868,0.0
47,0.04410440492744213,1.0,0.299598,0.398606,0.0
48,0.04407893394281983,1.0,3.95052,1.828864,0.0
49,0.04408118284507301,1.0,1.093554,1.042354,0.0
50,0.04407560598856891,1.0,2.38816,0.860596,0.0
51,0.04410008268765504,1.0,0.662172,0.859272,0.0
52,0.044081362767166725,1.0,4.47052,1.268598,0.0
53,0.04408118284507301,1.0,1.422324,1.496364,0.0
54,0.04407695509864259,1.0,2.4926,0.868008,0.0
55,0.044101433296582136,1.0,0.2877,0.420078,0.0
56,0.04409171075837743,1.0,4.17382,1.48317,0.0
57,0.04408118284507301,1.0,1.254004,1.247684,0.0
58,0.044079563612320245,1.0,2.60902,0.86552,0.0
59,0.04410503532486625,1.0,0.321958,0.461934,0.0
60,0.04412242338325023,1.0,4.315,1.153512,0.0
61,0.04408118284507301,1.0,1.324214,1.351374,0.0
62,0.044078214342561185,1.0,2.79156,0.815768,0.0
63,0.0441093585355693,1.0,0.444474,0.67391,0.0
64,0.044103414339326776,1.0,4.29084,1.514098,0.0
65,0.04408118284507301,1.0,1.261286,1.191986,0.0
66,0.044079113846555704,1.0,2.87566,0.828016,0.0
67,0.04410890816157747,1.0,0.413336,0.710392,0.0
68,0.044105575679858865,1.0,4.20984,1.266688,0.0
69,0.04408118284507301,1.0,1.220906,1.330086,0.0
70,0.04407992343154041,1.0,2.94652,0.837192,0.0
71,0.044111610543491796,1.0,0.354912,0.522112,0.0
72,0.04411206097267094,1.0,4.17976,1.520372,0.0
73,0.04408118284507301,1.0,1.129164,0.951264,0.0
74,0.044080463171385253,1.0,3.05536,0.824828,0.0
75,0.04410854786900578,1.0,0.259836,0.400652,0.0
76,0.04411350240786201,1.0,4.28592,1.111862,0.0
77,0.04408118284507301,1.0,3.19338,0.7955,0.0
78,0.04411971967637369,1.0,0.257616,0.38803,0.0
79,0.04408118284507301,1.0,3.28972,0.759552,0.0
80,0.044121792488673366,1.0,0.305156,0.398074,0.0
81,0.04408118284507301,1.0,3.3438,0.74466,0.0
82,0.04410674649443254,1.0,0.482914,0.645572,0.0
83,0.04408118284507301,1.0,3.43736,0.700148,0.0
84,0.04413333169876549,1.0,0.20193,0.29258,0.0
85,0.04408118284507301,1.0,3.47404,0.69232,0.0
86,0.044119629558517746,1.0,0.38289,0.593,0.0
87,0.04408118284507301,1.0,3.53938,0.688268,0.0
88,0.04411296185862613,1.0,0.15743120000000002,0.16788,0.0
89,0.04408118284507301,1.0,3.6444,0.668604,0.0
90,0.044123685226532226,1.0,0.247478,0.383676,0.0
91,0.04408073304626436,1.0,3.70364,0.668872,0.0
92,0.04413432363127408,1.0,0.09892,0.08656,0.0
93,0.04408073304626436,1.0,3.734,0.677428,0.0
94,0.044134503987429845,1.0,0.1408976,0.10746080000000001,0.0
95,0.04408073304626436,1.0,3.75768,0.63874,0.0
96,0.04413423345374896,1.0,0.09694,0.0826,0.0
